date,time,temp,dewPointTemp,humid,ap,visibility,windDirection,windSpeed,gustSpeed,Precip,event,situation
2010/5/1,2:00 AM,6 °C,-9 °C,21%,1018 hPa,20 km,West,7.2 km/h /,-,-,,Clear
2010/5/1,5:00 AM,5 °C,-8 °C,26%,1018 hPa,20 km,West,14.4 km/h /,-,-,,Clear
2010/5/1,8:00 AM,5 °C,-7 °C,27%,1020 hPa,20 km,West,7.2 km/h /,-,-,,Clear
2010/5/1,11:00 AM,8 °C,-6 °C,24%,1015 hPa,20 km,West,7.2 km/h /,-,-,,Clear
2010/5/1,2:00 PM,12 °C,-7 °C,15%,1012 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
2010/5/1,5:00 PM,15 °C,-5 °C,14%,1007 hPa,20 km,NW,14.4 km/h /,-,-,,Clear
2010/5/1,8:00 PM,15 °C,-7 °C,12%,1005 hPa,20 km,NW,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/1,11:00 PM,9 °C,-7 °C,19%,1011 hPa,20 km,East,7.2 km/h /,-,-,,Mostly Cloudy
2010/5/2,2:00 AM,6 °C,-6 °C,30%,1011 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
2010/5/2,5:00 AM,5 °C,-6 °C,32%,1011 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/2,11:00 AM,11 °C,-4 °C,23%,1006 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/2,2:00 PM,15 °C,6 °C,45%,1001 hPa,20 km,WNW,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/2,5:00 PM,11 °C,2 °C,40%,1003 hPa,10 km,NE,14.4 km/h /,-,-,,Mostly Cloudy
2010/5/2,8:00 PM,5 °C,-1 °C,56%,1009 hPa,10 km,NE,14.4 km/h /,-,-,Rain,Light Rain
2010/5/2,11:00 PM,1 °C,-1 °C,78%,1015 hPa,-,West,7.2 km/h /,-,-,Rain,Light Rain
2010/5/3,2:00 AM,2 °C,-1 °C,71%,1015 hPa,-,Calm,Calm,-,-,Rain,Light Rain
2010/5/3,5:00 AM,2 °C,-2 °C,71%,1015 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
2010/5/3,8:00 AM,2 °C,-2 °C,72%,1015 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
