,年月日,時間 (ULAT),温度,露点温度,湿度,気圧,視程,Wind Dir,風速,突風の速度,Precip,イベント,現在の気象状況
0,2016年5月1日,12:00 AM,0 °C,-8 °C,44%,1024 hPa,20 km,SE,14.4 km/h /,-,-,,Scattered Clouds
1,2016年5月1日,3:00 AM,-1 °C,-9 °C,44%,1026 hPa,20 km,WSW,21.6 km/h /,-,-,,
2,2016年5月1日,6:00 AM,-1 °C,-8 °C,43%,1026 hPa,20 km,WNW,14.4 km/h /,-,-,,
3,2016年5月1日,9:00 AM,0 °C,-8 °C,42%,1027 hPa,20 km,West,21.6 km/h /,-,-,,Clear
4,2016年5月1日,12:00 PM,4 °C,-7 °C,34%,1025 hPa,20 km,West,25.2 km/h /,-,-,,Scattered Clouds
5,2016年5月1日,3:00 PM,8 °C,-6 °C,24%,1020 hPa,20 km,WSW,21.6 km/h /,-,-,,Scattered Clouds
6,2016年5月1日,6:00 PM,10 °C,-8 °C,17%,1017 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
7,2016年5月1日,9:00 PM,10 °C,-7 °C,18%,1016 hPa,20 km,WSW,7.2 km/h /,-,-,,Scattered Clouds
8,2016年5月2日,12:00 AM,5 °C,-10 °C,21%,1018 hPa,20 km,SSW,10.8 km/h /,-,-,,Scattered Clouds
9,2016年5月2日,3:00 AM,2 °C,-7 °C,37%,1020 hPa,20 km,West,7.2 km/h /,-,-,,Mostly Cloudy
10,2016年5月2日,6:00 AM,0 °C,-7 °C,47%,1020 hPa,20 km,WNW,7.2 km/h /,-,-,,Scattered Clouds
11,2016年5月2日,9:00 AM,-1 °C,-5 °C,59%,1021 hPa,20 km,WNW,3.6 km/h /,-,-,,Scattered Clouds
12,2016年5月2日,12:00 PM,8 °C,-8 °C,20%,1014 hPa,20 km,WNW,10.8 km/h /,-,-,,Scattered Clouds
13,2016年5月2日,3:00 PM,10 °C,-9 °C,14%,1010 hPa,20 km,WSW,18.0 km/h /,-,-,,Scattered Clouds
14,2016年5月2日,6:00 PM,12 °C,-11 °C,9%,1006 hPa,20 km,SSE,14.4 km/h /,-,-,,Scattered Clouds
15,2016年5月2日,9:00 PM,13 °C,-13 °C,7%,1004 hPa,20 km,NW,7.2 km/h /,-,-,,Partly Cloudy
16,2016年5月3日,12:00 AM,10 °C,-10 °C,12%,1007 hPa,20 km,West,36.0 km/h /,-,-,,Partly Cloudy
17,2016年5月3日,3:00 AM,6 °C,-7 °C,27%,1010 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
18,2016年5月3日,6:00 AM,3 °C,-6 °C,37%,1012 hPa,20 km,West,18.0 km/h /,-,-,,Scattered Clouds
19,2016年5月3日,9:00 AM,4 °C,-5 °C,36%,1011 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
20,2016年5月3日,12:00 PM,9 °C,-2 °C,33%,1006 hPa,20 km,West,36.0 km/h /,-,-,,Partly Cloudy
21,2016年5月3日,3:00 PM,10 °C,-2 °C,31%,1004 hPa,20 km,WNW,36.0 km/h /,-,-,,Partly Cloudy
22,2016年5月3日,6:00 PM,9 °C,0 °C,42%,1005 hPa,20 km,WNW,21.6 km/h /,-,-,,Partly Cloudy
23,2016年5月3日,9:00 PM,7 °C,-5 °C,31%,1012 hPa,10 km,NW,21.6 km/h /,-,-,,Mostly Cloudy
24,2016年5月4日,12:00 AM,-2 °C,-10 °C,44%,1023 hPa,20 km,North,25.2 km/h /,-,-,,Partly Cloudy
25,2016年5月4日,3:00 AM,-3 °C,-12 °C,39%,1026 hPa,20 km,West,14.4 km/h /,-,-,,
26,2016年5月4日,6:00 AM,-4 °C,-12 °C,40%,1027 hPa,20 km,South,7.2 km/h /,-,-,,
27,2016年5月4日,9:00 AM,-5 °C,-13 °C,42%,1029 hPa,20 km,WNW,10.8 km/h /,-,-,,
28,2016年5月4日,12:00 PM,-1 °C,-10 °C,36%,1027 hPa,20 km,ESE,7.2 km/h /,-,-,,
29,2016年5月4日,3:00 PM,2 °C,-13 °C,19%,1023 hPa,20 km,East,14.4 km/h /,-,-,,
30,2016年5月4日,6:00 PM,5 °C,-9 °C,24%,1021 hPa,20 km,NE,7.2 km/h /,-,-,,
31,2016年5月4日,9:00 PM,5 °C,-9 °C,22%,1022 hPa,20 km,ENE,21.6 km/h /,-,-,,
32,2016年5月5日,12:00 AM,0 °C,-12 °C,26%,1027 hPa,20 km,ENE,21.6 km/h /,-,-,,
33,2016年5月5日,3:00 AM,-3 °C,-11 °C,40%,1030 hPa,20 km,SSW,10.8 km/h /,-,-,,
34,2016年5月5日,6:00 AM,-5 °C,-12 °C,44%,1031 hPa,20 km,WSW,3.6 km/h /,-,-,,
35,2016年5月5日,9:00 AM,-4 °C,-9 °C,54%,1030 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
36,2016年5月5日,12:00 PM,4 °C,-10 °C,24%,1023 hPa,20 km,ENE,18.0 km/h /,-,-,,Clear
37,2016年5月5日,3:00 PM,10 °C,-8 °C,16%,1016 hPa,20 km,ESE,21.6 km/h /,-,-,,Clear
38,2016年5月5日,6:00 PM,11 °C,-7 °C,15%,1013 hPa,20 km,ENE,28.8 km/h /,-,-,,Scattered Clouds
39,2016年5月5日,9:00 PM,10 °C,-6 °C,19%,1013 hPa,20 km,ESE,21.6 km/h /,-,-,,Scattered Clouds
40,2016年5月6日,12:00 AM,6 °C,-7 °C,27%,1016 hPa,20 km,WSW,14.4 km/h /,-,-,,Mostly Cloudy
41,2016年5月6日,3:00 AM,4 °C,-7 °C,35%,1017 hPa,20 km,SSW,7.2 km/h /,-,-,,Scattered Clouds
42,2016年5月6日,6:00 AM,2 °C,-8 °C,35%,1016 hPa,20 km,SSE,10.8 km/h /,-,-,,Scattered Clouds
43,2016年5月6日,9:00 AM,1 °C,-5 °C,50%,1016 hPa,20 km,SW,7.2 km/h /,-,-,,Scattered Clouds
44,2016年5月6日,12:00 PM,8 °C,-3 °C,32%,1011 hPa,10 km,SW,7.2 km/h /,-,-,,Mostly Cloudy
45,2016年5月6日,3:00 PM,10 °C,1 °C,40%,1009 hPa,20 km,SW,32.4 km/h /,-,-,,Mostly Cloudy
46,2016年5月6日,6:00 PM,11 °C,2 °C,42%,1006 hPa,20 km,WSW,25.2 km/h /,-,-,,Mostly Cloudy
47,2016年5月6日,9:00 PM,11 °C,-0 °C,33%,1008 hPa,20 km,West,21.6 km/h /,-,-,,Mostly Cloudy
48,2016年5月7日,12:00 AM,8 °C,-0 °C,43%,1014 hPa,20 km,SE,10.8 km/h /,-,-,,Mostly Cloudy
49,2016年5月7日,3:00 AM,4 °C,0 °C,72%,1018 hPa,20 km,SE,18.0 km/h /,-,-,,Partly Cloudy
50,2016年5月7日,6:00 AM,4 °C,-1 °C,63%,1020 hPa,20 km,NNE,18.0 km/h /,-,-,,Mostly Cloudy
51,2016年5月7日,9:00 AM,2 °C,-1 °C,74%,1023 hPa,10 km,Calm,Calm,-,-,Snow,Light Snow
52,2016年5月7日,12:00 PM,5 °C,1 °C,65%,1022 hPa,10 km,WNW,10.8 km/h /,-,-,,Mostly Cloudy
53,2016年5月7日,3:00 PM,8 °C,-2 °C,34%,1019 hPa,10 km,West,10.8 km/h /,-,-,,Partly Cloudy
54,2016年5月7日,6:00 PM,10 °C,-4 °C,24%,1016 hPa,10 km,NW,14.4 km/h /,-,-,,Partly Cloudy
55,2016年5月7日,9:00 PM,11 °C,-5 °C,21%,1016 hPa,20 km,SE,7.2 km/h /,-,-,,Scattered Clouds
56,2016年5月8日,12:00 AM,5 °C,-6 °C,31%,1021 hPa,20 km,South,18.0 km/h /,-,-,,
57,2016年5月8日,3:00 AM,1 °C,-5 °C,53%,1024 hPa,20 km,WSW,7.2 km/h /,-,-,,
58,2016年5月8日,6:00 AM,-1 °C,-7 °C,55%,1025 hPa,20 km,Calm,Calm,-,-,,
59,2016年5月8日,9:00 AM,-0 °C,-5 °C,57%,1025 hPa,20 km,WSW,3.6 km/h /,-,-,,Scattered Clouds
60,2016年5月8日,12:00 PM,8 °C,-2 °C,34%,1018 hPa,20 km,NE,3.6 km/h /,-,-,,Scattered Clouds
61,2016年5月8日,3:00 PM,14 °C,-5 °C,15%,1011 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
62,2016年5月8日,6:00 PM,16 °C,-6 °C,10%,1007 hPa,20 km,WSW,21.6 km/h /,-,-,,Clear
63,2016年5月8日,9:00 PM,17 °C,-5 °C,12%,1005 hPa,20 km,SW,28.8 km/h /,-,-,,Partly Cloudy
64,2016年5月9日,12:00 AM,12 °C,-5 °C,17%,1007 hPa,20 km,West,18.0 km/h /,-,-,,Mostly Cloudy
65,2016年5月9日,3:00 AM,12 °C,-5 °C,18%,1006 hPa,20 km,WNW,18.0 km/h /,-,-,,Partly Cloudy
66,2016年5月9日,6:00 AM,11 °C,-2 °C,26%,1004 hPa,20 km,West,14.4 km/h /,-,-,,Partly Cloudy
67,2016年5月9日,9:00 AM,11 °C,-1 °C,32%,1001 hPa,20 km,West,25.2 km/h /,-,-,,Partly Cloudy
68,2016年5月9日,12:00 PM,14 °C,-2 °C,19%,999 hPa,10 km,WNW,21.6 km/h /,-,-,,Mostly Cloudy
69,2016年5月9日,3:00 PM,14 °C,-1 °C,25%,1000 hPa,20 km,West,39.6 km/h /,-,-,,Partly Cloudy
70,2016年5月9日,6:00 PM,14 °C,4 °C,39%,999 hPa,20 km,NNW,32.4 km/h /,-,-,,Mostly Cloudy
71,2016年5月9日,9:00 PM,12 °C,2 °C,41%,1002 hPa,10 km,NE,21.6 km/h /,-,-,,Mostly Cloudy
72,2016年5月10日,12:00 AM,8 °C,0 °C,46%,1007 hPa,20 km,ESE,7.2 km/h /,-,-,,Mostly Cloudy
73,2016年5月10日,3:00 AM,5 °C,-2 °C,48%,1010 hPa,20 km,SE,10.8 km/h /,-,-,,Mostly Cloudy
74,2016年5月10日,6:00 AM,2 °C,-3 °C,59%,1011 hPa,20 km,SE,14.4 km/h /,-,-,,Scattered Clouds
75,2016年5月10日,9:00 AM,3 °C,-3 °C,57%,1012 hPa,20 km,ESE,21.6 km/h /,-,-,,Mostly Cloudy
76,2016年5月10日,12:00 PM,6 °C,-4 °C,36%,1011 hPa,20 km,East,21.6 km/h /,-,-,,Scattered Clouds
77,2016年5月10日,3:00 PM,7 °C,-5 °C,29%,1009 hPa,20 km,East,28.8 km/h /,-,-,,Mostly Cloudy
78,2016年5月10日,6:00 PM,2 °C,-4 °C,50%,1014 hPa,10 km,ENE,39.6 km/h /,-,-,,Overcast
79,2016年5月10日,9:00 PM,-1 °C,-3 °C,85%,1019 hPa,2 km,ENE,10.8 km/h /,-,-,Snow,Snow
80,2016年5月11日,12:00 AM,0 °C,-4 °C,59%,1021 hPa,20 km,ESE,7.2 km/h /,-,-,,Partly Cloudy
81,2016年5月11日,3:00 AM,-1 °C,-11 °C,33%,1024 hPa,20 km,ENE,14.4 km/h /,-,-,,Partly Cloudy
82,2016年5月11日,6:00 AM,-4 °C,-13 °C,39%,1028 hPa,20 km,SE,7.2 km/h /,-,-,,Scattered Clouds
83,2016年5月11日,9:00 AM,-4 °C,-10 °C,45%,1030 hPa,20 km,ENE,3.6 km/h /,-,-,,Scattered Clouds
84,2016年5月11日,12:00 PM,2 °C,-14 °C,16%,1026 hPa,20 km,WNW,21.6 km/h /,-,-,,Scattered Clouds
85,2016年5月11日,3:00 PM,4 °C,-14 °C,13%,1023 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
86,2016年5月11日,6:00 PM,9 °C,-10 °C,13%,1017 hPa,20 km,West,21.6 km/h /,-,-,,Clear
87,2016年5月11日,9:00 PM,11 °C,-13 °C,8%,1013 hPa,20 km,WSW,28.8 km/h /,-,-,,Partly Cloudy
88,2016年5月12日,12:00 AM,9 °C,-15 °C,8%,1014 hPa,20 km,WSW,32.4 km/h /,-,-,,Scattered Clouds
89,2016年5月12日,3:00 AM,5 °C,-16 °C,9%,1016 hPa,20 km,WNW,21.6 km/h /,-,-,,Scattered Clouds
90,2016年5月12日,6:00 AM,5 °C,-16 °C,10%,1014 hPa,20 km,West,28.8 km/h /,-,-,,Scattered Clouds
91,2016年5月12日,9:00 AM,5 °C,-17 °C,8%,1013 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
92,2016年5月12日,12:00 PM,10 °C,-13 °C,9%,1008 hPa,20 km,West,28.8 km/h /,-,-,,Scattered Clouds
93,2016年5月12日,3:00 PM,13 °C,-12 °C,7%,1003 hPa,20 km,West,36.0 km/h /,-,-,,Clear
94,2016年5月12日,6:00 PM,14 °C,-11 °C,8%,1000 hPa,10 km,West,43.2 km/h /,-,-,,Partly Cloudy
95,2016年5月12日,9:00 PM,5 °C,-7 °C,28%,1012 hPa,10 km,WNW,36.0 km/h /,-,-,,Mostly Cloudy
96,2016年5月13日,12:00 AM,4 °C,-8 °C,27%,1015 hPa,20 km,WNW,14.4 km/h /,-,-,,Partly Cloudy
97,2016年5月13日,3:00 AM,0 °C,-10 °C,31%,1019 hPa,20 km,WSW,21.6 km/h /,-,-,,Partly Cloudy
98,2016年5月13日,6:00 AM,1 °C,-8 °C,39%,1021 hPa,20 km,West,14.4 km/h /,-,-,,Mostly Cloudy
99,2016年5月13日,9:00 AM,1 °C,-8 °C,38%,1024 hPa,20 km,WSW,28.8 km/h /,-,-,,Partly Cloudy
100,2016年5月13日,12:00 PM,4 °C,-9 °C,26%,1024 hPa,20 km,WNW,18.0 km/h /,-,-,,Partly Cloudy
101,2016年5月13日,3:00 PM,4 °C,-8 °C,27%,1026 hPa,20 km,ESE,21.6 km/h /,-,-,,Mostly Cloudy
102,2016年5月13日,6:00 PM,8 °C,-12 °C,12%,1022 hPa,20 km,WNW,25.2 km/h /,-,-,,Partly Cloudy
103,2016年5月13日,9:00 PM,8 °C,-13 °C,10%,1023 hPa,20 km,West,28.8 km/h /,-,-,,Scattered Clouds
104,2016年5月14日,12:00 AM,4 °C,-12 °C,17%,1029 hPa,20 km,West,7.2 km/h /,-,-,,
105,2016年5月14日,3:00 AM,-0 °C,-14 °C,21%,1033 hPa,20 km,WNW,3.6 km/h /,-,-,,
106,2016年5月14日,6:00 AM,-4 °C,-13 °C,34%,1035 hPa,20 km,SW,3.6 km/h /,-,-,,
107,2016年5月14日,9:00 AM,0 °C,-9 °C,36%,1033 hPa,20 km,ESE,3.6 km/h /,-,-,,
108,2016年5月14日,12:00 PM,10 °C,-6 °C,20%,1025 hPa,20 km,North,3.6 km/h /,-,-,,Clear
109,2016年5月14日,3:00 PM,14 °C,-5 °C,15%,1020 hPa,20 km,North,7.2 km/h /,-,-,,
110,2016年5月14日,6:00 PM,17 °C,-7 °C,9%,1016 hPa,20 km,ESE,10.8 km/h /,-,-,,
111,2016年5月14日,9:00 PM,17 °C,-8 °C,9%,1013 hPa,20 km,ENE,14.4 km/h /,-,-,,Clear
112,2016年5月15日,12:00 AM,10 °C,-6 °C,19%,1018 hPa,20 km,ESE,10.8 km/h /,-,-,,Scattered Clouds
113,2016年5月15日,3:00 AM,6 °C,-7 °C,25%,1020 hPa,20 km,South,7.2 km/h /,-,-,,Mostly Cloudy
114,2016年5月15日,6:00 AM,2 °C,-9 °C,32%,1022 hPa,20 km,WSW,7.2 km/h /,-,-,,Scattered Clouds
115,2016年5月15日,9:00 AM,2 °C,-7 °C,39%,1022 hPa,20 km,SW,3.6 km/h /,-,-,,Mostly Cloudy
116,2016年5月15日,12:00 PM,13 °C,-4 °C,18%,1012 hPa,20 km,East,14.4 km/h /,-,-,,Clear
117,2016年5月15日,3:00 PM,19 °C,-4 °C,12%,1006 hPa,20 km,West,18.0 km/h /,-,-,,Scattered Clouds
118,2016年5月15日,6:00 PM,21 °C,-3 °C,11%,1002 hPa,20 km,WSW,28.8 km/h /,-,-,,Scattered Clouds
